ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_198,2항,"자체평가의 기준, 절차 및 방법 등에 필요한 사항은 총장이 따로 정한다.",학칙_대학 > 학칙 > 제24장 자체평가 > 제83조(자체평가),,,,,,
학칙_대학_199,1항,'산업교육진흥 및 산학협력촉진에 관한 법률' 제36조에 의한 학교기업을 설치할 수 있다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제84조(학교기업),,,,,,
학칙_대학_200,2항,"학교기업의 운영에 따른 세부사항은 학교기업의 설치·운영에 관한 규정(대통령령 제20740호)에 따르며, 이 영에 규정한 것 이외에는 을지대학교 학교기업설치·운영에 관하여 필요한 세부사항을 운영세칙으로 정할 수 있다.",학칙_대학 > 학칙 > 제25장 학교기업 > 제84조(학교기업),,,,,,
학칙_대학_201,3항,"학교기업의 설치·운영계획을 수립한 경우에는 학교기업의 소재지, 사업종목 및 관련학과 또는 교육과정을 학칙에 기재한다.",학칙_대학 > 학칙 > 제25장 학교기업 > 제84조(학교기업),,,,,,
학칙_대학_202,4항,학교기업 설치·운영현황은 별표 3과 같다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제84조(학교기업),,,,,,
학칙_대학_203,1항,학교기업에서의 현장실습은 총 16학점까지 인정할 수 있다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제85조(현장실습학점 등의 인정),,,,,,
학칙_대학_204,2항,학교기업에서의 현장실습교육을 1개 학기 30시간 이수한 경우 이를 1학점으로 인정한다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제85조(현장실습학점 등의 인정),,,,,,
학칙_대학_205,1항,학교기업운영 결산 결과 순이익 발생 시 순이익의 30% 범위 안에서 순이익 발생에 직접 기여한 교직원 및 학생에 대한 보상금을 줄 수 있다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제86조(보상금의 지급기준),,,,,,
학칙_대학_206,2항,교직원 1인당 연간 보상금은 순이익의 10%를 초과할 수 없으며 학생에 대한 보상금은 장학금 형태로 지급한다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제86조(보상금의 지급기준),,,,,,
학칙_대학_207,3항,제2항에도 불구하고 사업수행을 위하여 교직원 또는 학생이 특허 등 산업재산권을 제공한 경우에는 이에 대한 보상금을 별도기준에 의해 지급할 수 있다.,학칙_대학 > 학칙 > 제25장 학교기업 > 제86조(보상금의 지급기준),,,,,,
학칙_대학_208,제87조(장애학생지원),"「장애인 등에 대한 특수교육법」에 따라 장애학생특별지원위원회와 인권센터 소수학생지원실및 장애학생지원센터를 설치·운영하며, 이에 관한 세부사항은 따로 정한다.",학칙_대학 > 학칙 > 제26장 장애학생지원,,,,,,
학칙_대학_209,제88조(장애학생 편의제공),"「장애인차별금지 및 권리구제 등에 관한 법률」에 따라 장애학생이 교육활동 등에 불이익이 없도록 정당한 편의를 적극적으로 강구하고 제공하며, 이에 관한 세부사항은 따로 정한다.",학칙_대학 > 학칙 > 제26장 장애학생지원,,,,,,
학칙_대학_210,1항,"집단활동(대학전체 행사, 학과행사, 학생회 활동, 동아리 활동 등)에 대하여 행사(활동)를 주관하는 학생과 담당교수를 책임자로 둔다.",학칙_대학 > 학칙 > 제27장 학생 집단활동 > 제89조(학생집단활동),,,,,,
학칙_대학_211,2항,책임자는 집단활동 시에 인권침해 방지를 위해 노력하며 사고 발생에 대한 책임을 부여한다.,학칙_대학 > 학칙 > 제27장 학생 집단활동 > 제89조(학생집단활동),,,,,,
학칙_대학_212,3항,"집단활동 중 인권침해 사고 발생 시 집단활동에 대한 운영중지·폐쇄·재정지원 중단 등을 할 수 있다. 또한 인권침해 행위자 및 집단활동 책임자에 대하여 징계를 할 수 있으며, 이에 대한 세부사항은 총장이 따로 정한다.",학칙_대학 > 학칙 > 제27장 학생 집단활동 > 제89조(학생집단활동),,,,,,
학칙_대학_213,제90조(시행세칙),이 학칙의 시행에 필요한 사항은 총장이 이를 별도로 정한다.,학칙_대학 > 학칙 > 제28장 보칙,,,,,,
학칙_대학_214,제1조(목적),이 세칙은 을지대학교(이하 '본교') 학칙 제82조에 따라 학칙의 시행 및 원활한 학사운영에 필요한 사항을 규정함을 목적으로 한다.,학칙_대학 > 학칙시행세칙I > 제1장 총칙,,,,,,
학칙_대학_215,1항,본교에서 요구하는 정해진 학력을 취득하고 본교에 편입학하고자 할 때에는 학칙 제17조에 따라 학생을 선발한다.,학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제2조(편입학),,,,,,
학칙_대학_216,2항,편입학한 자는 전적대학에서 취득한 학점 중 본교에서 요구하는 선수과목에 부합하는 과목의 학점은 과목 담당교수의 심사 후 소속 대학장의 승인을 받은 경우 선수과목을 이수한 것으로 인정받을 수 있다.,학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제2조(편입학),,,,,,
학칙_대학_217,3항,"본교에 편입하고자 하는 자는 다음 각 호의 요건을 충족시켜야 한다. 1. 학사편입학: 국내외 4년제 대학 졸업(예정)자 또는 법령에 의하여 동등한 수준 이상의 학력이 있다고 인정되는 자는 3학년으로 편입한다. 2. 일반편입학: 일반편입학은 다음 각 목에 해당하는 자로서 60학점(의학과 80학점) 이상 취득자는 3학년, 학칙 제17조제4항에 해당자는 4학년에 편입할 수 있다. 가. 국내외 4년제 대학에서 4학기 이상을 수학한 자 다만, 계절학기는 제외한다. 나. 전문대학 졸업(예정)자 또는 법령에 따라 이와 동등한 학력이 있다고 인정되는 자(의학과 제외). 다만, 4년제 전문대학 간호학과에서 2학년 또는 4학기 이상을 수학한 경우 해당 학년에 편입할 수 있다. 다. 「학점인정 등에 관한 법률」에 의하여 60학점 이상의 학점을 인정받은 자 라. (삭제) 3. 외국인 편입학: 가. 부모 모두 외국인인 순수외국인 이어야 한다. 나. 국내외 전문대학 졸업(예정)자 또는 4년제 대학 4학기 이상 이수하고 60학점 이상 취득한 자는 2학년 또는 3학년에 편입 할 수 있다. 다만, 국내외 전문대학 3년제 학과 졸업(예정)자는 4학년으로 편입할 수 있다. 다. 의학과는 일반편입학 요건에 따른다.",학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제2조(편입학),,,,,,
학칙_대학_218,4항,그 밖의 세부사항은 입학시험전형관리위원회에서 정하는 편입학 모집요강에 따른다.,학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제2조(편입학),,,,,,
학칙_대학_219,1항,"자퇴 또는 제적된 자의 재입학은 해당학년 정원에 결원이 있을 경우 1회에 한하여 재입학을 허가할 수 있으며, 기 이수학점 수에 따라 재입학 학년을 결정할 수 있다.",학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제3조(재입학),,,,,,
학칙_대학_220,2항,"학칙 제16조에 따라 본교에 재입학할 수 있는 자는 다음 각 호에 해당되어야 한다. 1. 재입학은 자퇴 또는 제적된 후 5년이 경과되지 않은 자. 2. 학제변경 이전의 자퇴, 미등록, 미복학 등으로 인한 제적자가 재입학하는 경우에는 현행 학제에 따라야 한다.",학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제3조(재입학),,,,,,
학칙_대학_221,1항,"편입학자 및 재입학자의 성적은 정해진 학점심사를 거쳐야 하며, 인정받지 못한 학점에 대하여는 총장이 지정하는 과목을 수강하여야 한다.",학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제4조(성적인정),,,,,,
학칙_대학_222,2항,편입학자와 재입학자의 졸업인정 학점 수는 전공필수 교과목을 이수하고 성적인정 절차에 따라 인정받은 학점 수를 포함하여 학칙 제36조에 의한 이수학점 수를 충족하여야 한다.,학칙_대학 > 학칙시행세칙I > 제2장 편입학 및 재입학 > 제4조(성적인정),,,,,,
